timestamp_utc,DESF_TA__FREC,DESF_TA__J1_IA,DESF_TA__J1_IB,DESF_TA__J1_IC,DESF_TA__J1_I_AVG,DESF_TA__J2_VAB,DESF_TA__J2_VAN,DESF_TA__J2_VBC,DESF_TA__J2_VBN,DESF_TA__J2_VCA,DESF_TA__J2_VCN,DESF_TA__J2_V_AVG_LL,DESF_TA__J2_V_AVG_LN,DESF_TA__KVAR_A,DESF_TA__KVAR_B,DESF_TA__KVAR_C,DESF_TA__KVAR_TOT,DESF_TA__KVA_A,DESF_TA__KVA_B,DESF_TA__KVA_C,DESF_TA__KVA_TOT,DESF_TA__KW_A,DESF_TA__KW_B,DESF_TA__KW_C,DESF_TA__KW_TOT,DESF_TA__MWH_DEL,DESF_TA__PF,DESF_TA__PF_A,DESF_TA__PF_B,DESF_TA__PF_C,TT5449012H,TT5449017H,VT5449011H,VT5449012A,VT5449012H,VT5449013H,VT5449016H,VT5449017A,VT5449017H
2026-02-01 00:00:00+00:00,60.007927,195.39365,196.04953,196.39606,196.01723,13.617907,7.862907,13.626901,7.864795,13.624476,7.8688464,13.62504,7.868032,879.3604,862.98303,8615.943,2603.9417,1535.2943,1540.9697,1544.417,4620.536,1257.2548,1275.4359,1280.4944,3813.1904,32657.664,7.428571,7.4545455,7.428571,7.428571,42.90367,46.935005,0.7249459,0.92917573,0.6469348,0.7541648,0.87785226,1.313338,1.033294
2026-02-01 00:01:00+00:00,60.006107,181.97775,182.59813,183.08069,182.6386,13.623685,7.8666167,13.632338,7.868033,13.630051,7.871471,13.630745,7.8713617,854.7549,839.0902,8394.58,2532.7786,1431.5629,1436.6216,1441.0138,4309.0195,1147.1785,1164.9509,1170.4156,3482.5352,32657.727,7.5238094,7.521739,7.5263157,7.529412,42.832188,46.89314,0.67628,0.92089003,0.6670981,0.819927,0.8950199,1.4052384,1.0521592
2026-02-01 00:02:00+00:00,59.993652,182.16917,182.72243,183.12053,182.68446,13.623365,7.8662877,13.63193,7.8675838,13.629726,7.8715825,13.63022,7.8708725,854.2211,838.9385,8389.212,2532.0825,1431.8269,1437.6423,1441.5962,4310.854,1148.0327,1166.4097,1171.2922,3485.7385,32657.783,7.5,7.5,7.5,7.5,42.71523,46.74087,0.6612903,0.90023094,0.67013955,0.8205922,0.959928,1.324039,0.9927489
2026-02-01 00:03:00+00:00,59.96973,186.10602,186.7494,187.19366,186.77203,13.625192,7.867475,13.633691,7.8689923,13.631524,7.8722878,13.632734,7.872516,862.0941,845.89014,8454.961,2553.4727,1464.4452,1469.504,1473.6118,4407.2646,1182.0667,1199.9254,1205.3,3587.2861,32657.844,7.5,7.5,7.5,7.5,42.64758,46.57378,0.66974133,0.93834066,0.6177916,0.78938216,0.90145814,1.2707231,1.1978042
2026-02-01 00:04:00+00:00,60.017296,197.75392,198.70566,199.11156,198.6235,13.622287,7.8661838,13.630869,7.86711,13.629021,7.87102,13.630293,7.871005,884.6923,867.2981,8671.135,2619.1116,1555.3538,1561.2769,1565.625,4682.0923,1278.2596,1297.2577,1302.6038,3878.121,32657.908,7.5,7.428571,7.5,7.5,42.51252,46.458084,0.72032607,1.0067458,0.61374545,0.79329693,0.9070218,1.3457841,1.2331727
2026-02-01 00:05:00+00:00,60.006386,180.6786,181.23608,181.70354,181.23799,13.61588,7.8621902,13.624635,7.8633265,13.62246,7.8673644,13.623394,7.867235,851.40533,835.875,8362.571,2523.5356,1419.5573,1425.0482,1429.4393,4273.932,1134.9786,1153.2839,1158.4017,3446.6643,32657.967,7.5,7.5172415,7.5,7.5,42.38062,46.368233,0.7124813,0.89944535,0.7035432,0.7554399,0.9248176,1.3051317,1.0968734
2026-02-01 00:06:00+00:00,60.009342,194.11816,194.44293,195.2374,194.7964,13.6216345,7.8649597,13.630367,7.86652,13.627556,7.870388,13.629251,7.870469,876.3193,859.5755,8590.208,2595.119,1524.0416,1529.5453,1533.8057,4587.2905,1245.6698,1263.998,1269.5189,3779.1963,32658.023,7.5,7.5,7.5,7.5,42.407078,46.35807,0.6793783,0.9623528,0.66192925,0.7232288,0.9097274,1.2822691,1.030549
2026-02-01 00:07:00+00:00,59.98818,176.47409,176.30212,177.54277,176.35248,13.627263,7.86881,13.63464,7.869581,13.633349,7.873355,13.634512,7.87339,845.0907,830.10925,8309.396,2505.4167,1382.6852,1387.4425,1391.8,4161.7886,1090.2908,1107.7908,1113.0555,3311.139,32658.084,7.3076925,7.352941,7.2727275,7.2727275,42.471367,46.40552,0.6549922,0.92029643,0.6219746,0.77875096,0.90592384,1.3081963,1.1170492
2026-02-01 00:08:00+00:00,59.981686,151.33401,151.96823,152.47903,151.87677,13.640511,7.8757057,13.647227,7.8768396,13.644878,7.880322,13.645596,7.8798695,804.8754,793.0346,7936.5474,2391.1736,1191.9529,1196.1415,1200.4397,3588.4944,876.5906,893.27734,899.1366,2667.9717,32658.137,6.8333335,6.7,7.0,7.0,42.531746,46.394417,0.64211404,0.8566223,0.5747925,0.6879719,0.8198055,1.2334608,0.9362981
2026-02-01 00:09:00+00:00,59.980328,165.91992,166.49309,166.88371,166.5097,13.64778,7.880625,13.656575,7.881176,13.653477,7.8846064,13.65457,7.884705,828.5704,815.3,8151.426,2459.013,1307.4241,1312.3982,1316.0131,3935.7761,1010.54816,1027.6222,1032.3667,3070.537,32658.182,7.5,7.5,7.5,7.5,42.49979,46.28999,0.66677743,0.88605636,0.625626,0.7136375,0.8737845,1.2740313,0.95496374
