Subsystem,Sensors,Score_Mean,Thresh_Mean,High%,High_Count,Confidence,Baseline_σ,Alarms,Top_Alarm_Contributor
ISOLATED,0/12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SYS_1,12/12,0.0705,0.3231,0.7%,73,0.6817,0.084047,3,DESF_TA__KW_C (2x)
SYS_2,4/4,0.0097,0.0275,0.8%,83,0.6848,0.005929,57,DESF_TA__KVAR_C (57x)
SYS_3,2/3,0.0810,0.5905,2.7%,270,0.6101,0.174415,247,DESF_TA__PF_B (181x)
SYS_4,8/8,0.0994,0.2037,3.0%,295,0.6827,0.035350,274,DESF_TA__J2_V_AVG_LN (103x)
