Subsystem,Sensors,Score_Mean,Thresh_Mean,High%,High_Count,Confidence,Baseline_σ,Alarms,Top_Alarm_Contributor
ISOLATED,0/13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SYS_1,8/8,0.0904,0.1985,3.4%,339,0.6839,0.035799,386,DESF_TA__J2_V_AVG_LL (90x)
SYS_2,12/12,0.0132,0.0499,0.6%,64,0.6815,0.012215,0,N/A
SYS_3,4/4,0.0060,0.0180,0.7%,69,0.6845,0.003994,82,DESF_TA__KVAR_C (78x)
SYS_4,0/2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
