timestamp_utc,mode,class,score_SYS_1,score_SYS_2,score_SYS_3,score_SYS_4,physics_score,subsystem_score,pf_scale,vll_scale_for_identity,kw_expected,kw_residual,sqs_mean,sqs_p10,sqs_valid_frac,risk_SYS_1,risk_SYS_2,risk_SYS_3,risk_SYS_4,risk_INSTRUMENT,risk_score
2026-02-01 00:00:00+00:00,RUNNING,NORMAL,0.0073268244401703524,0.009341807181129334,,0.013842101823637515,0.4656947066374549,0.07757043846059826,0.1,1000,3796.7607270519165,16.429855023554865,1.0,1.0,1.0,0.0073268244401703524,0.009341807181129334,0.0,0.013842101823637515,0.4656947066374549,0.07757043846059826
2026-02-01 00:01:00+00:00,RUNNING,NORMAL,0.001187492883010686,0.008734872368287055,,0.01179726344678602,0.37155042567949087,0.06042611705676789,0.1,1000,3470.5501485234545,11.985136770663303,1.0,1.0,1.0,0.001187492883010686,0.008734872368287055,0.0,0.01179726344678602,0.37155042567949087,0.06042611705676789
2026-02-01 00:02:00+00:00,RUNNING,NORMAL,0.0012280311379247529,0.012084068571491524,,0.011954664086458523,0.33110976450741053,0.054855059488095805,0.1,1000,3469.3147027598093,16.423752047883227,1.0,1.0,1.0,0.0012280311379247529,0.012084068571491524,0.0,0.011954664086458523,0.33110976450741053,0.054855059488095805
2026-02-01 00:03:00+00:00,RUNNING,NORMAL,0.0017848854077092732,0.01063328999281148,,0.011239744147288299,0.3613559795081652,0.05923375368759695,0.1,1000,3572.88068734984,14.405584218787226,1.0,1.0,1.0,0.0017848854077092732,0.01063328999281148,0.0,0.011239744147288299,0.3613559795081652,0.05923375368759695
2026-02-01 00:04:00+00:00,RUNNING,NORMAL,0.009593976903612932,0.009253121146517499,,0.012154943650143107,0.44238540917444474,0.0745106110376555,0.1,1000,3870.6094371551153,7.5117128448846415,1.0,1.0,1.0,0.009593976903612932,0.009253121146517499,0.0,0.012154943650143107,0.44238540917444474,0.0745106110376555
2026-02-01 00:05:00+00:00,RUNNING,NORMAL,0.0017618479553752966,0.011381219880350155,,0.014596413679728845,0.34794341272757223,0.05818853530326171,0.1,1000,3431.1797055337306,15.48459714484079,1.0,1.0,1.0,0.0017618479553752966,0.011381219880350155,0.0,0.014596413679728845,0.34794341272757223,0.05818853530326171
2026-02-01 00:06:00+00:00,RUNNING,NORMAL,0.0062599581327731565,0.004632499230069991,,0.012549554885640513,0.4172539195528942,0.06893189723165145,0.1,1000,3773.970881404654,5.225338406667106,1.0,1.0,1.0,0.0062599581327731565,0.004632499230069991,0.0,0.012549554885640513,0.4172539195528942,0.06893189723165145
2026-02-01 00:07:00+00:00,RUNNING,NORMAL,0.002674528586286636,0.011527562355497945,,0.014200948382097536,0.43284254083208984,0.07119716384542707,0.1,1000,3292.7135995922363,18.425293926282393,1.0,1.0,1.0,0.002674528586286636,0.011527562355497945,0.0,0.014200948382097536,0.43284254083208984,0.07119716384542707
2026-02-01 00:08:00+00:00,RUNNING,NORMAL,0.020686022251959514,0.07295436270553589,,0.016187269195570873,0.4638525602949674,0.09146694897965088,0.1,1000,2633.4988403658617,34.472864917157494,1.0,1.0,1.0,0.020686022251959514,0.07295436270553589,0.0,0.016187269195570873,0.4638525602949674,0.09146694897965088
2026-02-01 00:09:00+00:00,RUNNING,NORMAL,0.010034285266073178,0.04428840940782961,,0.013723485119669601,0.3561261057937986,0.06673622351442281,0.1,1000,3067.5761985844283,2.9608477118677,1.0,1.0,1.0,0.010034285266073178,0.04428840940782961,0.0,0.013723485119669601,0.3561261057937986,0.06673622351442281
2026-02-01 00:10:00+00:00,RUNNING,NORMAL,0.018110357559174565,0.06033937815751141,,0.006114973904875269,0.33693936348959536,0.06713557197139108,0.1,1000,2741.7374792377796,7.992717932032065,1.0,1.0,1.0,0.018110357559174565,0.06033937815751141,0.0,0.006114973904875269,0.33693936348959536,0.06713557197139108
2026-02-01 00:11:00+00:00,RUNNING,NORMAL,0.020549172055352723,0.05910651990877573,,0.003931575457677133,0.4298419321488108,0.08129546034743537,0.1,1000,2652.2101015033068,32.10191049669356,1.0,1.0,1.0,0.020549172055352723,0.05910651990877573,0.0,0.003931575457677133,0.4298419321488108,0.08129546034743537
