timestamp_utc,mode,class,mech_score,elec_score,therm_score,physics_score,subsystem_score,pf_scale,vll_scale_for_identity,kw_expected,kw_residual,sqs_mean,sqs_p10,sqs_valid_frac,risk_mech,risk_elec,risk_therm,risk_instrument,risk_score
2026-02-01 00:00:00+00:00,RUNNING,NORMAL,0.03327174451675503,0.11009269293985462,0.0065137025925601204,0.4656947066374549,0.1210088143733068,0.1,1000,3796.7607270519165,16.429855023554865,1.0,1.0,1.0,0.03327174451675503,0.11009269293985462,0.0065137025925601204,0.4656947066374549,0.1210088143733068
2026-02-01 00:01:00+00:00,RUNNING,NORMAL,0.0572083866569887,0.07722676734375687,0.0061970559978923746,0.37155042567949087,0.103714426048154,0.1,1000,3470.5501485234545,11.985136770663303,1.0,1.0,1.0,0.0572083866569887,0.07722676734375687,0.0061970559978923746,0.37155042567949087,0.103714426048154
2026-02-01 00:02:00+00:00,RUNNING,NORMAL,0.026482775210516712,0.07763981620261526,0.005447447882204002,0.33110976450741053,0.08692648876611188,0.1,1000,3469.3147027598093,16.423752047883227,1.0,1.0,1.0,0.026482775210516712,0.07763981620261526,0.005447447882204002,0.33110976450741053,0.08692648876611188
2026-02-01 00:03:00+00:00,RUNNING,NORMAL,0.018638501541781222,0.08614910024319808,0.004320743460285886,0.3613559795081652,0.09152716897848324,0.1,1000,3572.88068734984,14.405584218787226,1.0,1.0,1.0,0.018638501541781222,0.08614910024319808,0.004320743460285886,0.3613559795081652,0.09152716897848324
2026-02-01 00:04:00+00:00,RUNNING,NORMAL,0.040680312917980084,0.11631357255686263,0.0038813376482480892,0.44238540917444474,0.12188787181771099,0.1,1000,3870.6094371551153,7.5117128448846415,1.0,1.0,1.0,0.040680312917980084,0.11631357255686263,0.0038813376482480892,0.44238540917444474,0.12188787181771099
2026-02-01 00:05:00+00:00,RUNNING,NORMAL,0.0313889274447921,0.0737856304069427,0.0036839030780699633,0.34794341272757223,0.08955519252939831,0.1,1000,3431.1797055337306,15.48459714484079,1.0,1.0,1.0,0.0313889274447921,0.0737856304069427,0.0036839030780699633,0.34794341272757223,0.08955519252939831
2026-02-01 00:06:00+00:00,RUNNING,NORMAL,0.023110695881315705,0.10363517174038084,0.0035786534792089987,0.4172539195528942,0.10748593951492331,0.1,1000,3773.970881404654,5.225338406667106,1.0,1.0,1.0,0.023110695881315705,0.10363517174038084,0.0035786534792089987,0.4172539195528942,0.10748593951492331
2026-02-01 00:07:00+00:00,RUNNING,NORMAL,0.007277826801024989,0.07423401646070364,0.0037349839891317495,0.43284254083208984,0.09401577377077247,0.1,1000,3292.7135995922363,18.425293926282393,1.0,1.0,1.0,0.007277826801024989,0.07423401646070364,0.0037349839891317495,0.43284254083208984,0.09401577377077247
2026-02-01 00:08:00+00:00,RUNNING,NORMAL,0.009592346316735341,0.05519043962979796,0.003573692012364083,0.4638525602949674,0.09278791283459845,0.1,1000,2633.4988403658617,34.472864917157494,1.0,1.0,1.0,0.009592346316735341,0.05519043962979796,0.003573692012364083,0.4638525602949674,0.09278791283459845
2026-02-01 00:09:00+00:00,RUNNING,NORMAL,0.010235877518704178,0.055018841004767435,0.003089932150197437,0.3561261057937986,0.07672155709809292,0.1,1000,3067.5761985844283,2.9608477118677,1.0,1.0,1.0,0.010235877518704178,0.055018841004767435,0.003089932150197437,0.3561261057937986,0.07672155709809292
