timestamp_utc,downtime_flag,ProcessRisk,Dominant_Subsystem,Fusion_Confidence,Severity_Label,SYS_1__Contribution,SYS_2__Contribution,SYS_3__Contribution,SYS_4__Contribution,SYS_5__Contribution,SYS_6__Contribution,STANDALONE__Contribution
2026-02-01 00:00:00+00:00,0,0.06633241468984692,SYS_4,0.644047619047619,,0.0035864929993000587,0.07575556508408375,0.004732568750272655,0.08998245763887597,0.046719280952665844,0.07827227146485242,0.0
2026-02-01 00:01:00+00:00,0,0.0635567662107445,SYS_4,0.644047619047619,,0.004060002332556409,0.08666889219234333,0.003698582188149538,0.0873496315459617,0.046719280952665844,0.05803869909066391,0.0
2026-02-01 00:02:00+00:00,0,0.06763132562980659,SYS_4,0.644047619047619,,0.00454439410295751,0.08776107029500549,0.004502336147665563,0.09209414427223166,0.046719280952665844,0.06928333462016521,0.0
2026-02-01 00:03:00+00:00,0,0.06456007534784439,SYS_4,0.644047619047619,,0.00454439410295751,0.0834670866441757,0.004914657590722038,0.09485593274319058,0.046719280952665844,0.05655698830508749,0.0
2026-02-01 00:04:00+00:00,0,0.06571395916425489,SYS_4,0.644047619047619,,0.00454439410295751,0.07245961307653154,0.002969474343101922,0.10036949986391713,0.046719280952665844,0.06919817088348137,0.0
2026-02-01 00:05:00+00:00,0,0.07431293310238583,SYS_4,0.644047619047619,,0.00454439410295751,0.09182162484462981,0.004408809783232863,0.10575367705142254,0.046719280952665844,0.08177968741147683,0.0
2026-02-01 00:06:00+00:00,0,0.07059372094052803,SYS_4,0.644047619047619,,0.00454439410295751,0.08195919066439356,0.0037307624653717996,0.1046649874370668,0.046719280952665844,0.07664141032369555,0.0
2026-02-01 00:07:00+00:00,0,0.07203164153332077,SYS_4,0.6738095238095237,,0.008514171467813475,0.07400833656045974,0.0035771985669790576,0.13386767509569802,0.046719280952665844,0.0730625806421965,0.0
2026-02-01 00:08:00+00:00,0,0.06600028599747575,SYS_4,0.6738095238095237,,0.028926339993933143,0.05244415223249281,0.005694899663655225,0.124234861684575,0.046719280952665844,0.053281815087441384,0.0
2026-02-01 00:09:00+00:00,0,0.07014825881329315,SYS_4,0.6910714285714284,,0.00454439410295751,0.09125901092762391,0.006354456265466169,0.12595464893769562,0.054832692048291345,0.056397000428753584,0.0
2026-02-01 00:10:00+00:00,0,0.06298098966716975,SYS_4,0.6910714285714284,,0.012669210759586448,0.06280565127586747,0.005902062661476612,0.12778742864946765,0.054832692048291345,0.04067349275005402,0.0
2026-02-01 00:11:00+00:00,0,0.0702222371746358,SYS_4,0.7083333333333333,,0.05761780882358647,0.05207915624128026,0.005176885653410397,0.12532224767481412,0.06854086506036418,0.039448296573002736,0.0
2026-02-01 00:12:00+00:00,0,0.06618272450476148,SYS_4,0.7255952380952381,,0.022203264712781452,0.06081586295998129,0.002964935597301225,0.12246921285119736,0.08224903807243701,0.0454507746818966,0.0
