timestamp_utc,downtime_flag,ProcessRisk,Significance,Significance_MuHist,Significance_SigHist,Fusion_Confidence,Total_Weight,Severity_Label,Source_SYS_1__Score,Source_SYS_1__Weight,Source_SYS_2__Score,Source_SYS_2__Weight,Source_SYS_3__Score,Source_SYS_3__Weight,Source_SYS_4__Score,Source_SYS_4__Weight,Source_STANDALONE__Score,Source_STANDALONE__Weight
2026-02-01 00:00:00+00:00,0,0.03479090323753928,,,,0.76,3.8,,0.04359874353236889,0.7000000000000001,0.0070105901140042675,0.7,0.04120458087977661,0.7,0.09705098926036204,0.7000000000000001,0.0,1.0
2026-02-01 00:01:00+00:00,0,0.031331787614902275,,,,0.76,3.8,,0.04983148297177197,0.7000000000000001,0.004664874717684075,0.7,0.05685831109888739,0.7,0.05873217871158014,0.7000000000000001,0.0,1.0
2026-02-01 00:02:00+00:00,0,0.0322207622353029,,,,0.76,3.8,,0.050342615973318246,0.7000000000000001,0.005729791804292926,0.7,0.05278938469595751,0.7,0.0660509172640865,0.7000000000000001,0.0,1.0
2026-02-01 00:03:00+00:00,0,0.028879121858003752,,,,0.76,3.8,,0.04552594862654353,0.7000000000000001,0.007036114501050343,0.7,0.05278938469595751,0.7,0.0514209283895993,0.7000000000000001,0.0,1.0
2026-02-01 00:04:00+00:00,0,0.031013450199890633,,,,0.76,3.8,,0.04197790297044844,0.7000000000000001,0.0038098726912981027,0.7,0.05278938469595751,0.7,0.06978156974189437,0.7000000000000001,0.0,1.0
2026-02-01 00:05:00+00:00,0,0.03392410931423716,,,,0.76,3.8,,0.05570700998998495,0.7000000000000001,0.0055194498038319,0.7,0.05278938469595751,0.7,0.07014360655785747,0.7000000000000001,0.0,1.0
2026-02-01 00:06:00+00:00,0,0.031591597187081474,,,,0.76,3.8,,0.04946326100640559,0.7000000000000001,0.005380504654692914,0.7,0.05278938469595751,0.7,0.0638640919669805,0.7000000000000001,0.0,1.0
2026-02-01 00:07:00+00:00,0,0.02477659323967866,,,,0.76,3.8,,0.047603622192293624,0.7000000000000001,0.003943887982642092,0.7,0.018706885441705894,0.7,0.06424711089556527,0.7000000000000001,0.0,1.0
2026-02-01 00:08:00+00:00,0,0.03379883811604878,,,,0.76,3.8,,0.07518016700748287,0.7000000000000001,0.008655292652179654,0.7,0.04012137241545796,0.7,0.05952257532341343,0.7000000000000001,0.0,1.0
2026-02-01 00:09:00+00:00,0,0.03170135438252344,,,,0.76,3.8,,0.04724877123567925,0.7000000000000001,0.008531809889713707,0.7,0.05278938469595751,0.7,0.06352310127951039,0.7000000000000001,0.0,1.0
