timestamp_utc,VT5449013H,VT5449016H,VT5449011H,VT5449017A,VT5449012H,DESF_TA__PF_A,TT5449017H,DESF_TA__RTD_2,VT5449012A,VT5449017H,TT5449018H,DESF_TA__MWH_DEL,DESF_TA__FREC
2026-02-01 00:00:00+00:00,0.75386584,0.8778203,0.7240974,1.3129632,0.6469484,7.4545455,46.935177,,0.9287093,1.0303148,100.0,32657.664,60.007927
2026-02-01 00:01:00+00:00,0.81977946,0.8965073,0.6761768,1.4061489,0.6674223,7.521739,46.893616,,0.9209745,1.0503817,99.86202,32657.727,60.005703
2026-02-01 00:02:00+00:00,0.82062656,0.9588742,0.66005677,1.3240802,0.6700638,7.5,46.74042,,0.8984003,0.99095213,100.0,32657.783,59.99358
2026-02-01 00:03:00+00:00,0.7917512,0.902714,0.67031294,1.2701035,0.6181088,7.5,46.572834,,0.94089,1.2052134,99.904175,32657.844,59.96973
2026-02-01 00:04:00+00:00,0.79329693,0.9070218,0.7211045,1.3457841,0.6148133,7.428571,46.457935,,1.0072592,1.2331727,99.928535,32657.908,60.017296
2026-02-01 00:05:00+00:00,0.7554399,0.9248176,0.7124813,1.3051317,0.7035432,7.5172415,46.368233,,0.89944535,1.0968734,100.0,32657.967,60.006386
2026-02-01 00:06:00+00:00,0.7232288,0.9097274,0.6793783,1.2822691,0.66192925,7.5,46.35807,,0.9623528,1.030549,100.0,32658.023,60.009342
2026-02-01 00:07:00+00:00,0.7778189,0.90337247,0.65198433,1.3045666,0.620389,7.352941,46.406105,56.0,0.92077833,1.1167339,100.0,32658.084,59.98818
2026-02-01 00:08:00+00:00,0.6879719,0.8198055,0.64211404,1.2334608,0.5747925,6.7,46.394417,56.0,0.8566223,0.9362981,100.0,32658.137,59.981686
2026-02-01 00:09:00+00:00,0.7136375,0.8737845,0.66677743,1.2740313,0.625626,7.5,46.28999,56.0,0.88605636,0.95496374,100.0,32658.182,59.980328
2026-02-01 00:10:00+00:00,0.7014587,0.83180904,0.63565695,1.2635382,0.592434,6.5,46.262905,56.0,0.8394181,0.9646141,100.0,32658.234,59.98906
2026-02-01 00:11:00+00:00,0.72800684,0.8309421,0.6351207,1.2759837,0.57475513,6.6153846,46.284016,56.0,0.7963282,0.95743215,100.0,32658.275,60.006283
2026-02-01 00:12:00+00:00,0.6826397,0.8238954,0.6887223,1.3585442,0.65274316,6.4117646,46.28269,56.0,0.791451,0.8151949,100.0,32658.32,60.029037
2026-02-01 00:13:00+00:00,0.6882922,0.8478067,0.7230738,1.3732287,0.6902282,7.2777777,46.29006,56.0,0.8455859,0.8417005,100.0,32658.361,59.98581
2026-02-01 00:14:00+00:00,0.6859131,0.8698521,0.61140376,1.304351,0.6216459,6.9,46.24492,56.0,0.8689483,0.87294185,100.0,32658.41,60.00172
2026-02-01 00:15:00+00:00,0.64541113,0.84566677,0.6700592,1.2603459,0.60211694,7.529412,46.22923,56.0,0.8380849,0.9181113,100.0,32658.459,59.99247
2026-02-01 00:16:00+00:00,0.71491927,0.8197719,0.6689387,1.2585748,0.61976355,7.470588,46.261932,56.0,0.8731,0.9652892,100.0,32658.51,60.012814
2026-02-01 00:17:00+00:00,0.6693845,0.8815464,0.70807916,1.3794813,0.61155814,7.0588236,46.294434,56.0,0.85809857,0.8715533,100.0,32658.562,59.99433
