System_ID,Target,N_Predictors,R2,R2_Adjusted
SYS_1,DESF_TA__PF,2,0.9658,0.9658
SYS_1,DESF_TA__PF_B,2,0.9896,0.9896
SYS_1,DESF_TA__PF_C,2,0.9902,0.9902
SYS_2,DESF_TA__J1_IA,11,0.9995,0.9995
SYS_2,DESF_TA__J1_IB,11,0.9996,0.9996
SYS_2,DESF_TA__J1_IC,11,0.9996,0.9996
SYS_2,DESF_TA__J1_I_AVG,11,0.9996,0.9996
SYS_2,DESF_TA__KVA_A,11,0.9999,0.9999
SYS_2,DESF_TA__KVA_B,11,1.0,1.0
SYS_2,DESF_TA__KVA_C,11,1.0,1.0
SYS_2,DESF_TA__KVA_TOT,11,1.0,1.0
SYS_2,DESF_TA__KW_A,11,1.0,1.0
SYS_2,DESF_TA__KW_B,11,1.0,1.0
SYS_2,DESF_TA__KW_C,11,1.0,1.0
SYS_2,DESF_TA__KW_TOT,11,1.0,1.0
SYS_3,DESF_TA__KVAR_A,3,0.9998,0.9998
SYS_3,DESF_TA__KVAR_B,3,0.9997,0.9997
SYS_3,DESF_TA__KVAR_C,3,0.9997,0.9997
SYS_3,DESF_TA__KVAR_TOT,3,1.0,1.0
SYS_4,DESF_TA__RTD_1,2,0.965,0.965
SYS_4,DESF_TA__RTD_3,2,0.9674,0.9674
SYS_4,TT5449012H,2,0.9299,0.9299
SYS_5,DESF_TA__RTD_4,4,0.9922,0.9922
SYS_5,DESF_TA__RTD_5,4,0.995,0.995
SYS_5,DESF_TA__RTD_6,4,0.9948,0.9948
SYS_5,DESF_TA__RTD_7,4,0.9965,0.9965
SYS_5,DESF_TA__RTD_8,4,0.9967,0.9967
SYS_6,DESF_TA__J2_VAB,7,1.0,1.0
SYS_6,DESF_TA__J2_VAN,7,1.0,1.0
SYS_6,DESF_TA__J2_VBC,7,1.0,1.0
SYS_6,DESF_TA__J2_VBN,7,1.0,1.0
SYS_6,DESF_TA__J2_VCA,7,1.0,1.0
SYS_6,DESF_TA__J2_VCN,7,1.0,1.0
SYS_6,DESF_TA__J2_V_AVG_LL,7,1.0,1.0
SYS_6,DESF_TA__J2_V_AVG_LN,7,0.9998,0.9998
