type,key,weight
fusion,ISOLATED,0.3333333333333333
fusion,SYS_1,0.20512820512820512
fusion,SYS_2,0.3076923076923077
fusion,SYS_3,0.10256410256410256
fusion,SYS_4,0.05128205128205128
risk,ISOLATED,0.3333333333333333
risk,SYS_1,0.20512820512820512
risk,SYS_2,0.3076923076923077
risk,SYS_3,0.10256410256410256
risk,SYS_4,0.05128205128205128
