timestamp_utc,DESF_TA__KVAR_A,DESF_TA__KVAR_B,DESF_TA__KVAR_C,DESF_TA__KVAR_TOT
2026-02-01 01:23:00+00:00,753.23584,750.7604,7585.309,2262.5142
2026-02-01 01:24:00+00:00,751.5924,749.35,7573.596,2258.4277
2026-02-01 01:25:00+00:00,750.1173,747.974,7553.094,2253.451
2026-02-01 01:26:00+00:00,749.6241,747.05884,7541.0,2251.0825
2026-02-01 01:27:00+00:00,748.116,745.23676,7527.549,2246.1138
2026-02-01 01:28:00+00:00,747.09393,744.4666,7523.46,2243.84
2026-02-01 01:29:00+00:00,747.375,745.074,7529.0,2245.356
2026-02-01 01:30:00+00:00,748.75867,746.09576,7542.854,2249.0637
2026-02-01 01:31:00+00:00,747.82794,744.932,7531.88,2245.953
2026-02-01 01:32:00+00:00,748.0204,744.8923,7528.3887,2245.722
2026-02-01 01:33:00+00:00,746.9509,743.31134,7513.039,2241.4905
2026-02-01 01:34:00+00:00,745.1865,742.317,7495.7925,2237.1907
2026-02-01 01:35:00+00:00,793.46,782.08,7855.647,2360.6882
2026-02-01 01:36:00+00:00,832.3473,818.0036,8174.143,2468.284
2026-02-01 01:37:00+00:00,776.714,766.6824,7692.38,2311.5803
2026-02-01 01:38:00+00:00,813.05,800.59375,8007.4165,2414.369
2026-02-01 01:39:00+00:00,861.0183,845.59186,8432.9795,2549.902
2026-02-01 01:40:00+00:00,811.9019,799.0792,7995.906,2410.551
2026-02-01 01:41:00+00:00,793.46594,782.2192,7826.298,2358.317
2026-02-01 01:42:00+00:00,827.32495,813.74036,8130.673,2453.7424
2026-02-01 01:43:00+00:00,846.4866,831.6,8298.52,2507.9404
2026-02-01 01:44:00+00:00,831.25195,816.8808,8157.365,2463.877
2026-02-01 01:45:00+00:00,854.2553,838.8787,8370.063,2530.1426
2026-02-01 01:46:00+00:00,821.2689,807.7644,8069.0225,2435.949
2026-02-01 01:47:00+00:00,787.11633,776.2183,7759.2856,2339.2673
2026-02-01 01:48:00+00:00,801.1458,789.50415,7883.021,2378.948
2026-02-01 01:49:00+00:00,825.78955,811.9583,8098.125,2447.5603
2026-02-01 01:50:00+00:00,796.41956,784.868,7838.784,2365.1294
2026-02-01 01:51:00+00:00,796.878,785.27795,7842.72,2367.0898
2026-02-01 01:52:00+00:00,816.81635,804.54083,8027.898,2424.198
2026-02-01 01:53:00+00:00,847.6647,833.46857,8310.412,2512.1667
2026-02-01 01:54:00+00:00,830.3413,816.8283,8154.022,2462.563
2026-02-01 01:55:00+00:00,814.907,802.407,8016.1396,2418.842
2026-02-01 01:56:00+00:00,839.59393,824.72205,8233.7,2487.282
2026-02-01 01:57:00+00:00,857.7622,842.7396,8413.812,2541.8792
2026-02-01 01:58:00+00:00,855.4646,840.08545,8390.3125,2534.5813
2026-02-01 01:59:00+00:00,867.04694,851.96875,8507.796,2569.7898
2026-02-01 02:00:00+00:00,848.4848,834.93256,8347.065,2518.1282
2026-02-01 02:01:00+00:00,869.48126,855.28955,8546.5625,2579.4167
2026-02-01 02:02:00+00:00,846.40204,833.084,8324.98,2511.9739
2026-02-01 02:03:00+00:00,837.9857,824.9184,8240.938,2486.994
2026-02-01 02:04:00+00:00,836.0762,823.05005,8219.904,2481.1072
2026-02-01 02:05:00+00:00,821.2471,809.12354,8081.3726,2438.5137
2026-02-01 02:06:00+00:00,848.29376,833.0041,8307.898,2511.2285
2026-02-01 02:07:00+00:00,843.51227,829.2898,8268.694,2499.6755
2026-02-01 02:08:00+00:00,803.88367,792.6,7916.265,2388.096
2026-02-01 02:09:00+00:00,818.4302,806.0868,8043.3584,2428.8584
2026-02-01 02:10:00+00:00,852.67084,838.24786,8349.917,2525.9146
2026-02-01 02:11:00+00:00,813.37915,800.8625,7985.479,2412.8416
2026-02-01 02:12:00+00:00,797.77,786.154,7848.82,2368.806
2026-02-01 02:13:00+00:00,837.06,823.086,8203.84,2480.552
2026-02-01 02:14:00+00:00,820.94464,807.4872,8053.298,2433.7617
2026-02-01 02:15:00+00:00,792.34796,780.586,7800.6,2352.9958
2026-02-01 02:16:00+00:00,817.051,803.4127,8020.2554,2422.4832
2026-02-01 02:17:00+00:00,839.5429,824.6816,8214.592,2485.6755
